dance_id,category,grade,student_name,n_smpl_frames,duration_seconds,music_file,teacher_comment_en,teacher_comment_cn
1,Folk,A,jun11__3,2604,104.2,1.mp3,"The combined movements are all completed, coherent, and the body coordination is good; the coordination of movements and breath can be further strengthened.",组合动作全部完成，连贯，肢体协调性好；动作和气息的配合可进一步加强。
1,Folk,A,jun11__4,2604,104.2,1.mp3,"The key points of the movements are well grasped and applied, and the movements match the melody of the music. The current focus is on the arms, and the sense of stage space can be further improved.",动作要领的把握及运用很好，动作吻合音乐旋律，目前力度集中在手臂，舞台空间感可进一步提升。
1,Folk,A,jun11__5,2603,104.1,1.mp3,"The movements are coherent, the key points are grasped and applied well, the eyes can add a little ""stickiness"", and the ""visual retention"" can make the movements appear more story-telling and feminin",动作连贯，要领的把握及运用很好，眼神可加一点“黏连感”，“视觉滞留”可让动作显得更有故事性和女性韵味。
1,Folk,B,jun11,2604,104.2,1.mp3,"I have a good grasp and application of the essentials of the movements, and I remember the movement routes very well, but the biggest pain point is that my knees are too far apart. When the left foot ",动作要领的把握及运用较好，动作路线记得很熟，但最大的痛点是膝盖分得太开。当左脚擦出拧动时，右膝盖没有主动向左腿方向并拢，两膝之间有空隙，导致脚下的“拧”劲儿在大腿处就“漏”掉。
1,Folk,B,jun11__4,2604,104.2,1.mp3,"The coordination of the body is good, but when the left foot is wiped out, it is not ""rubbed"" out =, but ""lifted"" up and then put down. This causes the Zheng T character to lose the texture of ""sticki",身体的协调性较好，但左脚擦出去时，不是“蹭”出去=，而是“抬”起来再放下去的。这导致正丁字失去了“粘”在地面上的质感，动作显得飘、浮。
1,Folk,B,jun13,2604,104.2,1.mp3,"The body's stretchability is good, but it only focuses on the rubbing out of the power leg (left foot), but ignores the push of the main leg (right foot). Without the main leg to push the center of gr",身体的舒展性较好，但只注重了动力腿（左脚）的擦出，却忽略了主力腿（右脚）的推动。没有主力腿推重心，动力腿拧出去就没有底座的支撑，显得单薄。
1,Folk,C,jun11__3,2493,99.7,1.mp3,"The grasp and application of the essentials of movements are poor, the sequence of force exertion is not well controlled, and the bottom-up sense of rhythm is lost.",动作要领的把握及运用较差，发力顺序掌握不好，丢失了自下而上的动律感。
1,Folk,C,jun11__4,2604,104.2,1.mp3,"The grasp and application of the essentials of the movements are poor. The soles of the feet are flat on the ground and going straight forward without any ""crushing"" movement.",动作要领的把握及运用较差，脚底板平铺在地面上直来直去，找不到一丝“碾”的动作。
1,Folk,C,jun11__5,2604,104.2,1.mp3,"The body's stretchability is poor, the upper body is loose, and the central axis of the body is disconnected.",身体的舒展性较差，上半身松懈，身体的中轴线断连。
2,Folk,A,jun11,2034,81.4,2.mp3,"The lifting and lowering of the heels should be crisp and clean, with no unnecessary swaying. You may further introduce subtle shifts in speed during the rolling motion, lending a nimble vitality to t",脚跟的提起与放下干净利落，无多余的晃动。可以进一步在碾动的“过程”中增加一点速度变化，让步伐在规矩中透出机灵劲儿，避免过于“四平八稳”。
2,Folk,A,jun11__1,2034,81.4,2.mp3,"The center of gravity is extremely stable, and the hips are leaned back and the chest and waist are opened forward, forming a beautiful ""front-to-back confrontation"" arc. You can further add the rhyth",重心极其稳定，且胯向后靠、胸腰向前敞开形成了漂亮的“前后对抗”弧线。可进一步加入“留头甩头”的节奏变化，使其更具表演性。
